id,name,serving_size,calories,total_fat,protein,carbohydrate
7787,"Beef, broiled, cooked, prime, trimmed to 1/8"" fat, separable lean and fat, steak, tenderloin",100 g,308,22g,25.26 g,0.00 g
7788,"Beef, roasted, cooked, prime, trimmed to 1/8"" fat, separable lean and fat, roast, tenderloin",100 g,343,27g,24.04 g,0.00 g
7789,"Potatoes, unprepared, frozen, salt added in processing, shredded, hash brown, yellow fleshed",100 g,81,0.1g,2.04 g,17.98 g
7790,"Pork, roasted, heated, separable lean and fat, boneless, whole, ham and water product, cured",100 g,123,5.5g,13.88 g,4.61 g
7791,"Pork, roasted, heated, separable lean and fat, bone-in, rump, ham with natural juices, cured",100 g,177,9.4g,22.47 g,0.60 g
7792,"Pork, roasted, heated, separable lean and fat, bone-in, shank, ham and water product, cured",100 g,234,17g,18.17 g,1.42 g
7793,"Lamb, slow roasted, cooked, separable lean only, square-cut shoulder, imported, New Zealand",100 g,192,10g,25.08 g,0.00 g
7794,"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, clod roast, chuck",100 g,216,12g,24.61 g,0.00 g
7795,"Water, sweetened with low calorie sweetener, natural fruit flavors, bottles, non-carbonated",100 g,1,0g,0.00 g,0.13 g
7796,"Beef, raw, select, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",100 g,142,5.8g,22.46 g,0.00 g
7797,"Soup, single brand, ready-to-serve, reduced sodium, reduced fat, chunky, split pea with ham",100 g,76,1.1g,5.20 g,11.30 g
7798,"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, sirloin half, leg, domestic",100 g,261,21g,17.21 g,0.00 g
7799,"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, tenderloin roast, loin",100 g,135,5.1g,22.16 g,0.00 g
7800,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, tenderloin roast, loin",100 g,143,6.2g,21.78 g,0.00 g
7801,"Milk, with added vitamin A and vitamin D, protein fortified, 2% milkfat, fluid, reduced fat",100 g,56,2g,3.95 g,5.49 g
7802,"Chickpeas (garbanzo beans, bengal gram), rinsed in tap water, drained, canned, mature seeds",100 g,138,2.5g,7.04 g,22.87 g
7803,"Cereals ready-to-eat, Raspberry, KELLOGG'S FROSTED MINI-WHEATS Touch of Fruit in the Middle",100 g,342,1.8g,8.80 g,82.10 g
7804,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, top loin steak, short loin",100 g,138,5.2g,22.93 g,0.00 g
7805,"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean only, steak, top sirloin",100 g,187,6.7g,29.51 g,0.00 g
7806,"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, tri-tip roast, bottom sirloin",100 g,174,9.5g,20.64 g,0.00 g
7807,"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, tri-tip roast, bottom sirloin",100 g,157,7.7g,20.64 g,0.00 g
7808,"Shortening, soybean (partially hydrogenated)-cottonseed (partially hydrogenated), household",100 g,884,100g,0.00 g,0.00 g
7809,"Potatoes, without salt, heated in oven, prepared, extruded, par fried, french fried, frozen",100 g,333,19g,3.55 g,39.68 g
7810,"Lamb, raw, separable lean and fat, boneless, rolled, netted shoulder, imported, New Zealand",100 g,252,20g,16.90 g,0.20 g
7811,"School Lunch, frozen, TONY'S SMARTPIZZA Whole Grain 4x6 Pepperoni Pizza 50/50 Cheese, pizza",100 g,238,8.2g,12.14 g,28.84 g
7812,"Potatoes, with salt, heated in oven, prepared, cottage-cut, par fried, french fried, frozen",100 g,218,8.2g,3.44 g,34.03 g
7813,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",100 g,162,8.5g,21.44 g,0.00 g
7814,"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",100 g,246,18g,19.56 g,0.00 g
7815,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",100 g,263,20g,19.09 g,0.00 g
7816,"Pork, unheated, separable lean only, boneless, spiral slice, ham with natural juices, cured",100 g,109,3.3g,19.25 g,1.22 g
7817,"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean and fat, clod roast, chuck",100 g,196,8.8g,27.30 g,0.00 g
7818,"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean and fat, arm, shoulder, domestic",100 g,269,18g,24.91 g,0.00 g
7819,"Lamb, roasted, choice, trimmed to 1/8"" fat, separable lean and fat, arm, shoulder, domestic",100 g,267,19g,22.93 g,0.00 g
7820,"Beverages, powder, with low-calorie sweeteners, reduced calorie, chocolate, Dairy drink mix",100 g,329,2.6g,25.00 g,51.40 g
7821,"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, sirloin half, leg, domestic",100 g,272,22g,16.94 g,0.00 g
7822,"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, loin, frozen, imported, New Zealand",100 g,273,22g,17.18 g,0.00 g
7823,"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye steak",100 g,223,16g,18.86 g,0.00 g
7824,"Pork, pan-broil, heated, separable lean only, boneless, slice, ham and water product, cured",100 g,123,5.1g,15.09 g,4.69 g
7825,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, tenderloin steak, loin",100 g,143,6.2g,21.78 g,0.00 g
7826,"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, tenderloin steak, loin",100 g,135,5.1g,22.16 g,0.00 g
7827,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, roast, eye of round, round",100 g,124,3g,22.60 g,0.00 g
7828,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, roast, bottom round, round",100 g,128,4.3g,22.19 g,0.00 g
7829,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, steak, top round, round",100 g,166,7.9g,22.06 g,0.00 g
7830,"Beef, pan-fried, cooked, choice, trimmed to 1/8"" fat, separable lean only, top round, round",100 g,228,8.3g,33.93 g,2.03 g
7831,"Cereals, without salt, stove-top, cooked with water, 2 1/2 minute cook time, CREAM OF WHEAT",100 g,56,0.2g,1.44 g,11.74 g
7832,"Beef, raw, select, trimmed to 0"" fat, separable lean only, composite of trimmed retail cuts",100 g,133,5g,22.03 g,0.05 g
7833,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, composite of trimmed retail cuts",100 g,151,7.2g,21.55 g,0.00 g
7834,"Crackers, made with corn starch and white rice flour, multigrain and vegetable, gluten-free",100 g,456,15g,2.50 g,76.94 g
7835,"Infant formula, with ARA and DHA, powder, with iron, LACTOFREE LIPIL, ENFAMIL, MEAD JOHNSON",100 g,521,28g,10.90 g,56.30 g
7836,"Infant formula, not reconstituted, liquid concentrate, with iron, SIMILAC, ABBOTT NUTRITION",100 g,127,6.9g,2.64 g,13.76 g
7837,"Lamb, raw, trimmed to 1/8"" fat, separable lean only, foreshank, fresh, imported, Australian",100 g,123,3.8g,20.83 g,0.00 g
7838,"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean only, flat half, brisket",100 g,203,6.8g,33.13 g,0.00 g
7839,"Beverages, fortified with vitamin C, unsweetened, lemon, decaffeinated, instant, green, tea",100 g,378,0g,0.00 g,94.45 g
7840,"Beef, broiled, cooked, select, trimmed to 1/8"" fat, separable lean only, steak, top sirloin",100 g,170,5g,29.34 g,0.00 g
7841,"Pork, roasted, cooked, with added solution, separable lean and fat, tenderloin, loin, fresh",100 g,121,3.7g,21.50 g,0.31 g
7842,"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean only, flat half, brisket",100 g,189,5.2g,33.18 g,0.00 g
7843,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, arm pot roast, chuck",100 g,195,5.8g,33.37 g,0.00 g
7844,"Fast foods, oven roasted chicken on white bread with lettuce and tomato, submarine sandwich",100 g,157,3.2g,10.84 g,21.35 g
7845,"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean only, top blade, chuck",100 g,203,10g,26.13 g,0.00 g
7846,"Pork, pan-broil, heated, separable lean and fat, boneless, slice, ham -- water added, cured",100 g,125,5.1g,18.62 g,1.72 g
7847,"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",100 g,116,2.5g,23.59 g,0.00 g
7848,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, top round steak, round",100 g,124,3.3g,23.59 g,0.00 g
7849,"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, top round steak, round",100 g,116,2.5g,23.59 g,0.00 g
7850,"Ravioli, includes regular and light entrees, not prepared, frozen, cheese with tomato sauce",100 g,111,2.6g,4.52 g,17.31 g
7851,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, small end (ribs 10-12), eye, rib",100 g,161,8.3g,20.13 g,0.00 g
7852,"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, full cut, round",100 g,235,13g,27.54 g,0.00 g
7853,"Beef, broiled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, full cut, round",100 g,218,11g,27.58 g,0.00 g
7854,"Beverages, high vitamin C and added thiamin, greater than 3% fruit juice, fruit juice drink",100 g,54,0g,0.13 g,13.16 g
7855,"Pork, roasted, heated, separable lean only, boneless, whole, ham with natural juices, cured",100 g,113,3g,20.57 g,0.84 g
7856,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, whole (ribs 6-12), rib",100 g,306,26g,16.53 g,0.00 g
7857,"Beverages, contains caffeine, with aspartame, cola or pepper-type, low calorie, carbonated",100 g,2,0g,0.11 g,0.29 g
7858,"Pork, roasted, heated, separable lean and fat, bone-in, rump, ham and water product, cured",100 g,186,11g,19.46 g,1.15 g
7859,"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, loin, domestic",100 g,316,23g,25.17 g,0.00 g
7860,"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, loin, domestic",100 g,309,24g,22.55 g,0.00 g
7861,"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean and fat, top blade, chuck",100 g,200,10g,25.67 g,0.00 g
7862,"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean and fat, top blade, chuck",100 g,227,13g,25.77 g,0.00 g
7863,"Beef, raw, all grades, trimmed to 0"" fat, boneless separable lean only, flat half, brisket",100 g,132,5.1g,21.47 g,0.00 g
7864,"Pork, pan-broil, heated, separable lean only, bone-in, slice, ham and water product, cured",100 g,122,3.6g,20.90 g,1.35 g
7865,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, top round, round",100 g,200,5.3g,35.62 g,0.00 g
7866,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, top round, round",100 g,216,7.1g,35.62 g,0.00 g
7867,"Lamb, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, loin, domestic",100 g,297,21g,26.06 g,0.00 g
7868,"Lamb, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, loin, domestic",100 g,290,21g,23.27 g,0.00 g
7869,"Beef, broiled, cooked, select, trimmed to 1/8"" fat, separable lean only, steak, tenderloin",100 g,194,7.8g,29.07 g,0.00 g
7870,"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, roast, eye of round, round",100 g,159,7.6g,21.30 g,0.00 g
7871,"Pork, pan-fried, cooked, separable lean and fat, bone-in, center loin (chops), loin, fresh",100 g,238,13g,27.63 g,0.00 g
7872,"Pork, broiled, cooked, boneless, separable lean only, boneless, blade (chops), loin, fresh",100 g,169,6.7g,26.14 g,0.89 g
7873,"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean only, steak, tenderloin",100 g,206,9.1g,29.01 g,0.00 g
7874,"Chicken, original seasoning, rotisserie, cooked, meat and skin, breast, broilers or fryers",100 g,184,8.2g,27.48 g,0.02 g
7875,"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, flat half, brisket",100 g,169,9.9g,20.15 g,0.00 g
7876,"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, top loin, loin",100 g,250,15g,26.72 g,0.00 g
7877,"Beef, raw, prime, trimmed to 1/8"" fat, separable lean and fat, steak, top loin, short loin",100 g,281,22g,19.00 g,0.00 g
7878,"Pork, braised, cooked, separable lean only, blade (steaks), (Boston butt), shoulder, fresh",100 g,233,13g,26.57 g,0.00 g
7879,"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",100 g,187,11g,20.68 g,0.00 g
7880,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",100 g,198,12g,20.71 g,0.00 g
7881,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, roast, eye of round, round",100 g,173,8.9g,21.68 g,0.00 g
7882,"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, short ribs, chuck",100 g,169,10g,19.68 g,0.05 g
7883,"Pork, pan-fried, cooked, separable lean and fat, boneless, center rib (chops), loin, fresh",100 g,273,18g,25.82 g,0.00 g
7884,"Beef, raw, prime, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",100 g,335,29g,16.74 g,0.00 g
7885,"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, rib, frozen, imported, new zealand",100 g,311,27g,15.87 g,0.00 g
7886,"Soup, single brand, ready-to-serve, reduced sodium, reduced fat, chunky, chicken vegetable",100 g,40,0.5g,2.70 g,6.30 g
7887,"Pork, roasted, heated, separable lean only, bone-in, shank, ham with natural juices, cured",100 g,145,5g,24.95 g,0.34 g
7888,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, porterhouse steak, short loin",100 g,161,7.4g,22.13 g,0.00 g
7889,"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, porterhouse steak, short loin",100 g,145,5.4g,22.61 g,0.00 g
7890,"Pork, pan-broiled, cooked, separable lean only, boneless, center loin (chops), loin, fresh",100 g,162,4.7g,30.02 g,0.00 g
7891,"Infant formula, not reconstituted, liquid concentrate, low iron, SIMILAC, ABBOTT NUTRITION",100 g,127,6.9g,2.64 g,13.76 g
7892,"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, flank",100 g,192,8.2g,27.66 g,0.00 g
7893,"Cranberry juice cocktail, saccharin and corn sweetener, with calcium, low calorie, bottled",100 g,19,0g,0.02 g,4.60 g
7894,"Pineapple juice, C and E, with added vitamins A, unsweetened, not from concentrate, canned",100 g,50,0.1g,0.36 g,12.18 g
7895,"Pork, pan-broil, heated, separable lean and fat, bone-in, slice, ham -- water added, cured",100 g,166,8.7g,20.80 g,1.54 g
7896,"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, flat half, brisket",100 g,158,8.5g,20.57 g,0.00 g
7897,"Creamy dressing, fat-free, reduced calorie, made with sour cream and/or buttermilk and oil",100 g,107,2.7g,1.40 g,20.00 g
7898,"Beef, raw, select, trimmed to 0"" fat, separable lean only, small end (ribs 10-12), rib eye",100 g,149,6.6g,21.17 g,0.00 g
7899,"Cowpeas, without salt, boiled, cooked, mature seeds, common (blackeyes, crowder, southern)",100 g,116,0.5g,7.73 g,20.76 g
7900,"Lamb, raw, separable fat, composite of trimmed retail cuts, frozen, imported, New Zealand",100 g,640,68g,6.92 g,0.00 g
7901,"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, shank half, leg, domestic",100 g,185,12g,18.99 g,0.00 g
7902,"Fast foods, vegetables and mayonnaise, large patty; with condiments, cheeseburger; single",100 g,268,16g,13.69 g,17.73 g
7903,"Pork, roasted, cooked, separable lean and fat, bone-in, center loin (roasts), loin, fresh",100 g,231,13g,27.01 g,0.00 g
7904,"Beef, simmered, cooked, choice, trimmed to 1/4"" fat, separable lean only, shank crosscuts",100 g,201,6.4g,33.68 g,0.00 g
7905,"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean only, steak, top sirloin",100 g,188,6.6g,30.29 g,0.00 g
7906,"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean only, steak, top sirloin",100 g,177,5g,30.80 g,0.00 g
7907,"Chicken, original seasoning, rotisserie, cooked, meat only, drumstick, broilers or fryers",100 g,176,6.8g,28.74 g,0.00 g
7908,"Cereals, without salt, cooked with water, enriched, regular and quick, yellow, corn grits",100 g,65,0.4g,1.23 g,13.86 g
7909,"Orange juice, E, D, with added calcium and vitamins A, includes from concentrate, chilled",100 g,49,0.1g,0.68 g,11.54 g
7910,"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, bone-in, back ribs, rib",100 g,324,28g,16.15 g,0.78 g
7911,"Lamb, fast roasted, cooked, separable lean and fat, boneless, loin, imported, New Zealand",100 g,157,4.6g,28.96 g,0.00 g
7912,"Pork, roasted, cooked, separable lean and fat, boneless, center rib (roasts), loin, fresh",100 g,252,15g,26.99 g,0.00 g
7913,"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, rib, domestic",100 g,359,30g,21.12 g,0.00 g
7914,"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, rib, domestic",100 g,361,30g,22.13 g,0.00 g
7915,"Lamb, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, rib, domestic",100 g,340,27g,23.06 g,0.00 g
7916,"Lamb, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, rib, domestic",100 g,341,28g,21.82 g,0.00 g
7917,"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, shank half, leg, domestic",100 g,201,13g,18.58 g,0.00 g
7918,"Snacks, made with partially hydrogenated oil, regular (butter) flavor, microwave, popcorn",100 g,557,34g,7.50 g,55.16 g
7919,"Bagels, toasted, with calcium propionate (includes onion, poppy, sesame), enriched, plain",100 g,287,1.4g,11.14 g,57.39 g
7920,"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, blade, shoulder, domestic",100 g,259,21g,16.63 g,0.00 g
7921,"Pork, roasted, heated, separable lean only, bone-in, rump, ham with natural juices, cured",100 g,137,4.3g,24.14 g,0.48 g
7922,"Pork, roasted, heated, separable lean only, boneless, whole, ham and water product, cured",100 g,123,5.5g,13.88 g,4.61 g
7923,"Infant formula, with ARA and DHA, ready to feed, LIPIL, PROSOBEE, NEXT STEP, MEAD JOHNSON",100 g,67,2.9g,2.14 g,8.09 g
7924,"Fast Foods, vegetables and mayonnaise, large patty; with condiments, cheeseburger; double",100 g,253,16g,15.50 g,12.62 g
7925,"Chicken, original seasoning, rotisserie, cooked, meat and skin, thigh, broilers or fryers",100 g,233,16g,22.93 g,0.02 g
7926,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, whole, brisket",100 g,218,10g,29.75 g,0.00 g
7927,"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, ribeye cap steak",100 g,180,11g,19.70 g,1.51 g
7928,"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, roast, tip round, round",100 g,151,7g,20.48 g,0.00 g
7929,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, flat half, brisket",100 g,198,5.9g,33.90 g,0.00 g
7930,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, flat half, brisket",100 g,212,8.1g,32.62 g,0.00 g
7931,"Pork, roasted, heated, separable lean and fat, boneless, whole, ham -- water added, cured",100 g,126,5.5g,17.77 g,1.54 g
7932,"Beverages, without caffeine, with aspartame, cola or pepper-type, low calorie, carbonated",100 g,1,0g,0.12 g,0.12 g
7933,"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, loin, fresh, imported, Australian",100 g,203,13g,19.32 g,0.00 g
7934,"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck",100 g,227,17g,17.87 g,0.00 g
7935,"Squash, without salt, drained, boiled, cooked, frozen, crookneck and straightneck, summer",100 g,25,0.2g,1.28 g,5.54 g
7936,"Pork, pan-fried, cooked, separable lean and fat, bone-in, center rib (chops), loin, fresh",100 g,256,16g,26.81 g,0.00 g
7937,"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",100 g,295,25g,16.52 g,0.00 g
7938,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",100 g,333,29g,16.03 g,0.00 g
7939,"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck",100 g,240,19g,17.22 g,0.00 g
7940,"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, blade, shoulder, domestic",100 g,244,19g,17.01 g,0.00 g
7941,"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, sirloin half, leg, domestic",100 g,134,5.1g,20.55 g,0.00 g
7942,"Lamb, raw, separable lean only, boneless, rolled, netted shoulder, imported, New Zealand",100 g,143,6.9g,20.20 g,0.00 g
7943,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, arm pot roast, chuck",100 g,244,18g,19.23 g,0.00 g
7944,"Fast foods, patty and bun; with condiments and vegetables, regular, cheeseburger; double",100 g,285,15g,13.04 g,23.30 g
7945,"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, small end (ribs 10-12), rib",100 g,134,4.2g,22.53 g,0.00 g
7946,"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, steak, top loin, short loin",100 g,133,3.9g,23.07 g,0.00 g
7947,"Pork, braised, cooked, separable lean and fat, bone-in, center loin (chops), loin, fresh",100 g,242,14g,28.21 g,0.00 g
7948,"Pork, broiled, cooked, separable lean and fat, bone-in, center loin (chops), loin, fresh",100 g,209,11g,25.61 g,0.00 g
7949,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, tri-tip roast, bottom sirloin",100 g,154,7.1g,21.17 g,0.00 g
7950,"Cereals, without salt, cooked with water, enriched, regular and quick, white, corn grits",100 g,71,0.5g,1.71 g,14.76 g
7951,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, steak, top round, round",100 g,135,4.1g,22.91 g,0.00 g
7952,"Chicken, original seasoning, rotisserie, cooked, meat and skin, back, broilers or fryers",100 g,260,19g,23.23 g,0.03 g
7953,"Pork, roasted, cooked, with added solution, separable lean only, tenderloin, loin, fresh",100 g,116,3.2g,21.61 g,0.31 g
7954,"Infant formula, not reconstituted, powder, with iron, ADVANCE, SIMILAC, ABBOTT NUTRITION",100 g,522,29g,10.89 g,54.73 g
7955,"Infant formula, liquid concentrate, ADVANCE with iron, ISOMIL, SIMILAC, ABBOTT NUTRITION",100 g,128,7g,3.13 g,13.21 g
7956,"School Lunch, frozen, TONY'S SMARTPIZZA Whole Grain 4x6 Cheese Pizza 50/50 Cheese, pizza",100 g,233,7.5g,12.08 g,29.27 g
7957,"School Lunch, frozen, BIG DADDY'S LS 16"" 51% Whole Grain Rolled Edge Cheese Pizza, pizza",100 g,243,8.8g,13.89 g,27.10 g
7958,"Macaroni and cheese, prepared with 2% milk and 80% stick margarine from dry mix, dry mix",100 g,190,8.3g,4.89 g,23.93 g
7959,"Rolls, and sorghum flour, tapioca starch, made with brown rice flour, white, gluten-free",100 g,257,8.2g,5.65 g,40.24 g
7960,"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, clod roast, chuck",100 g,171,6.7g,25.95 g,0.00 g
7961,"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, t-bone steak, short loin",100 g,215,14g,20.28 g,0.00 g
7962,"Margarine-like, with salt, approximately 37% fat, unspecified oils, vegetable oil spread",100 g,339,38g,0.51 g,0.66 g
7963,"Pork, braised, cooked, separable lean and fat, boneless, center rib (chops), loin, fresh",100 g,255,16g,26.29 g,0.00 g
7964,"Pork, broiled, cooked, separable lean and fat, boneless, center rib (chops), loin, fresh",100 g,260,16g,27.63 g,0.00 g
7965,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, steak, top loin, short loin",100 g,155,6.4g,22.78 g,0.00 g
7966,"Pork, roasted, cooked, separable lean and fat, bone-in, center rib (roasts), loin, fresh",100 g,248,15g,26.99 g,0.00 g
7967,"Cereals ready-to-eat, raisin, KELLOGG's FROSTED MINI-WHEATS Touch of Fruit in the Middle",100 g,343,1.6g,9.10 g,82.10 g
7968,"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, chuck eye steak",100 g,153,7.6g,21.29 g,0.00 g
7969,"Oil, principal uses icings and fillings, palm, soy (partially hydrogenated ), industrial",100 g,884,100g,0.00 g,0.00 g
7970,"Pork, pan-broil, heated, separable lean only, boneless, slice, ham -- water added, cured",100 g,119,4.1g,18.82 g,1.75 g
7971,"Cereals, without salt, microwaved, cooked with water, 1 minute cook time, CREAM OF WHEAT",100 g,55,0.4g,1.95 g,10.67 g
7972,"Pork, broiled, cooked, boneless, separable lean and fat, country-style ribs, loin, fresh",100 g,247,16g,26.28 g,0.00 g
7973,"Pork, roasted, cooked, boneless, separable lean and fat, country-style ribs, loin, fresh",100 g,270,18g,26.40 g,0.00 g
7974,"Rolls, and potato starch, tapioca starch, made with brown rice flour, white, gluten-free",100 g,310,6.4g,7.99 g,55.10 g
7975,"Infant formula, not reconstituted, liquid concentrate, with iron, PROSOBEE, MEAD JOHNSON",100 g,131,7.1g,3.19 g,13.58 g
7976,"Infant formula, with ARA and DHA, ready to feed, with iron, PROSOBEE LIPIL, MEAD JOHNSON",100 g,64,3.5g,1.64 g,6.11 g
7977,"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, clod roast, chuck",100 g,172,5.8g,28.09 g,0.00 g
7978,"Chicken, original seasoning, rotisserie, cooked, meat and skin, wing, broilers or fryers",100 g,266,19g,24.34 g,0.04 g
7979,"Beef, broiled, cooked, select, trimmed to 1/4"" fat, separable lean only, full cut, round",100 g,172,5.2g,29.25 g,0.00 g
7980,"Beef, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean only, full cut, round",100 g,191,7.3g,29.21 g,0.00 g
7981,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, t-bone steak, short loin",100 g,228,16g,20.00 g,0.00 g
7982,"Pork, roasted, heated, separable lean and fat, bone-in, shank, ham -- water added, cured",100 g,200,13g,18.62 g,1.35 g
7983,"Crustaceans, moist heat (may have been previously frozen), cooked, mixed species, shrimp",100 g,119,1.7g,22.78 g,1.52 g
7984,"Pork, pan-fried, cooked, separable lean and fat, boneless, top loin (chops), loin, fresh",100 g,196,7.9g,29.36 g,0.00 g
7985,"Beverages, with high vitamin C, Fruit flavored drink containing less than 3% fruit juice",100 g,27,0g,0.00 g,6.67 g
7986,"Beef, raw, prime, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",100 g,367,33g,15.77 g,0.00 g
7987,"Beef, raw, select, trimmed to 0"" fat, separable lean only, tri-tip roast, bottom sirloin",100 g,129,4.2g,21.34 g,0.00 g
7988,"Pork, roasted, heated, separable lean only, bone-in, shank, ham and water product, cured",100 g,132,4.5g,21.69 g,1.26 g
7989,"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean only, loin, domestic",100 g,202,9.8g,26.59 g,0.00 g
7990,"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean only, loin, domestic",100 g,216,9.7g,29.99 g,0.00 g
7991,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, point half, brisket",100 g,265,21g,17.65 g,0.00 g
7992,"Oil, intermediate grade product, confection fat, palm kernel (hydrogenated), industrial",100 g,884,100g,0.00 g,0.00 g
7993,"Oil, pourable clear fry, soy (partially hydrogenated ) and soy (winterized), industrial",100 g,884,100g,0.00 g,0.00 g
7994,"Oil, uses similar to high quality cocoa butter, confection fat, palm kernel, industrial",100 g,884,100g,0.00 g,0.00 g
